AggregationMethod,Date,Version,AirportName,PercentOfBaseline,lon,lat,City,State,ISO_3166_2,Country
Daily,2020-07-05,1.0,Kingsford Smith,52,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-28,1.0,Kingsford Smith,61,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-07,1.0,Kingsford Smith,62,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-24,1.0,Kingsford Smith,58,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-05,1.0,Kingsford Smith,20,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-10-16,1.0,Kingsford Smith,18,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-01,1.0,Kingsford Smith,55,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-18,1.0,Kingsford Smith,59,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-15,1.0,Kingsford Smith,19,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-10,1.0,Kingsford Smith,19,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-30,1.0,Kingsford Smith,10,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-04,1.0,Kingsford Smith,20,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-17,1.0,Kingsford Smith,69,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-23,1.0,Kingsford Smith,61,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-22,1.0,Kingsford Smith,50,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-19,1.0,Kingsford Smith,49,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-10-14,1.0,Kingsford Smith,23,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-12,1.0,Kingsford Smith,19,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-13,1.0,Kingsford Smith,52,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-02,1.0,Kingsford Smith,77,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-24,1.0,Kingsford Smith,62,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-12,1.0,Kingsford Smith,54,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-05,1.0,Kingsford Smith,56,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-03-25,1.0,Kingsford Smith,84,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-14,1.0,Kingsford Smith,18,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-10-11,1.0,Kingsford Smith,25,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-17,1.0,Kingsford Smith,58,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-23,1.0,Kingsford Smith,58,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
